name,lon,lat,tipo_geometria,pais,fecha_descarga
La Despensa Extremeña,-0.5076182,38.3378612,Point,España,2026-03-04 13:06:55.752367
Casa Ibarra,-0.4816595,38.3453343,Point,España,2026-03-04 13:06:55.752367
La Piazza,-0.4829839,38.3453882,Point,España,2026-03-04 13:06:55.752367
Telepizza,-0.5094853,38.3445308,Point,España,2026-03-04 13:06:55.752367
La Cantina Alicante,-0.4912727,38.3448203,Point,España,2026-03-04 13:06:55.752367
Sento,-0.4315067,38.3643336,Point,España,2026-03-04 13:06:55.752367
El Dragón Escamado,-0.4883346,38.351009,Point,España,2026-03-04 13:06:55.752367
Cervecería Restaurante Victor,-0.4996701,38.3408815,Point,España,2026-03-04 13:06:55.752367
La Taberna de D. José,-0.4999283,38.3420923,Point,España,2026-03-04 13:06:55.752367
Liberty Kitchen,-0.4909315,38.3472022,Point,España,2026-03-04 13:06:55.752367
Eurokebap,-0.4836706,38.3604532,Point,España,2026-03-04 13:06:55.752367
Moments,-0.5206319,38.2824099,Point,España,2026-03-04 13:06:55.752367
El noi II,-0.5703208,38.3383175,Point,España,2026-03-04 13:06:55.752367
100 Montaditos,-0.4107268,38.370573,Point,España,2026-03-04 13:06:55.752367
Lidu,-0.4909236,38.3386899,Point,España,2026-03-04 13:06:55.752367
Restaurante Brasería Rosa de los Vientos,-0.5193092,38.339087,Point,España,2026-03-04 13:06:55.752367
Vips,-0.410647,38.3689487,Point,España,2026-03-04 13:06:55.752367
D'Tablas,-0.4826007,38.3443484,Point,España,2026-03-04 13:06:55.752367
El caldero,-0.4735931,38.3514547,Point,España,2026-03-04 13:06:55.752367
La brujula,-0.4798869,38.3419531,Point,España,2026-03-04 13:06:55.752367
Rincón de Antonio,-0.4825139,38.3475324,Point,España,2026-03-04 13:06:55.752367
,-0.4739473,38.3512998,Point,España,2026-03-04 13:06:55.752367
Castellano,-0.5109008,38.347639,Point,España,2026-03-04 13:06:55.752367
Mesón Marinero,-0.5142712,38.32855,Point,España,2026-03-04 13:06:55.752367
Pizzería Da Sebas,-0.4872698,38.3436131,Point,España,2026-03-04 13:06:55.752367
Restaurante Rias Baixas,-0.488543,38.3478969,Point,España,2026-03-04 13:06:55.752367
Repsol,-0.5090809,38.3764075,Point,España,2026-03-04 13:06:55.752367
El Rincon de Nines,-0.4800221,38.3456395,Point,España,2026-03-04 13:06:55.752367
,-0.4778126,38.1659037,Point,España,2026-03-04 13:06:55.752367
,-0.4778369,38.1657856,Point,España,2026-03-04 13:06:55.752367
,-0.4777971,38.1656397,Point,España,2026-03-04 13:06:55.752367
,-0.4776381,38.1654434,Point,España,2026-03-04 13:06:55.752367
,-0.477733,38.1655389,Point,España,2026-03-04 13:06:55.752367
Mish Mish,-0.4835948,38.3468624,Point,España,2026-03-04 13:06:55.752367
Mamma Mia,-0.4835349,38.3466347,Point,España,2026-03-04 13:06:55.752367
